season,projection,Tair
DJF,0,3.6647189
DJF,1,3.2527857
DJF,2,4.009527
DJF,3,2.3408175
DJF,4,4.1663203
DJF,5,3.2385952
DJF,6,3.8886218
DJF,7,4.4670014
DJF,8,3.5810108
DJF,9,3.769641
DJF,10,4.46638
DJF,11,3.0438824
DJF,12,4.5573673
DJF,13,5.637832
DJF,14,2.127578
DJF,15,1.670114
DJF,16,1.0387676
DJF,17,7.290592
DJF,18,5.9566565
DJF,19,5.6133447
DJF,20,2.1085408
DJF,21,2.7742324
DJF,22,4.4200153
DJF,23,6.6659064
DJF,24,6.6905646
DJF,25,5.228767
DJF,26,3.9177375
DJF,27,4.3767643
DJF,28,1.6596032
DJF,29,4.7712936
DJF,30,2.7809253
DJF,31,3.5829282
JJA,0,5.699734
JJA,1,4.6060076
JJA,2,4.242182
JJA,3,4.2391777
JJA,4,5.207866
JJA,5,4.4957395
JJA,6,4.5192018
JJA,7,4.5752835
JJA,8,4.7261295
JJA,9,3.8177283
JJA,10,6.059475
JJA,11,3.4521341
JJA,12,5.2669587
JJA,13,7.459686
JJA,14,2.926205
JJA,15,2.1750903
JJA,16,3.0008743
JJA,17,6.4256043
JJA,18,4.5883985
JJA,19,5.78825
JJA,20,2.305656
JJA,21,5.821645
JJA,22,5.0188155
JJA,23,4.898158
JJA,24,4.786671
JJA,25,4.3128614
JJA,26,3.8570662
JJA,27,3.9128458
JJA,28,2.8919826
JJA,29,4.3264194
JJA,30,4.702258
JJA,31,6.857659
MAM,0,4.6993384
MAM,1,4.2661386
MAM,2,2.8921783
MAM,3,3.448768
MAM,4,6.841543
MAM,5,3.5882308
MAM,6,4.220498
MAM,7,7.047568
MAM,8,3.5120063
MAM,9,2.6180453
MAM,10,4.3848906
MAM,11,3.7981014
MAM,12,5.764429
MAM,13,6.2611313
MAM,14,3.449374
MAM,15,2.758933
MAM,16,3.262106
MAM,17,6.3977695
MAM,18,3.8401954
MAM,19,3.678195
MAM,20,1.3084261
MAM,21,4.1486874
MAM,22,4.5569606
MAM,23,8.568742
MAM,24,8.168392
MAM,25,9.792365
MAM,26,2.4489229
MAM,27,3.3567085
MAM,28,2.719214
MAM,29,5.438135
MAM,30,3.4433212
MAM,31,6.299957
SON,0,5.0934024
SON,1,4.226843
SON,2,4.7660646
SON,3,3.271471
SON,4,4.0344343
SON,5,4.2932525
SON,6,4.045033
SON,7,4.4130964
SON,8,4.132208
SON,9,2.842352
SON,10,4.3315425
SON,11,2.3647025
SON,12,5.22556
SON,13,5.498357
SON,14,2.7069771
SON,15,1.9670187
SON,16,2.892579
SON,17,5.98192
SON,18,4.681167
SON,19,4.788179
SON,20,1.6495361
SON,21,4.282872
SON,22,4.6576967
SON,23,4.51641
SON,24,4.3953304
SON,25,4.488146
SON,26,3.4891248
SON,27,3.7968063
SON,28,1.6751978
SON,29,4.636457
SON,30,4.4598227
SON,31,5.912722
