source_id,season,pr
0,DJF,15.809814
0,JJA,11.701026
0,MAM,-3.733682
0,SON,-10.650061
1,DJF,9.940565
1,JJA,3.4046583
1,MAM,7.720688
1,SON,-6.832157
2,DJF,5.298336
2,JJA,-49.634907
2,MAM,-9.334516
2,SON,-17.721233
3,DJF,4.0289955
3,JJA,1.1505347
3,MAM,6.976859
3,SON,-0.24810205
4,DJF,-2.3318555
4,JJA,-5.536523
4,MAM,-10.723861
4,SON,0.28928688
5,DJF,16.434742
5,JJA,5.0614777
5,MAM,13.162929
5,SON,1.0547947
6,DJF,16.434742
6,JJA,5.0614777
6,MAM,13.162929
6,SON,1.0547947
7,DJF,2.6731684
7,JJA,15.404522
7,MAM,7.881391
7,SON,16.507889
8,DJF,20.070324
8,JJA,4.828844
8,MAM,18.964613
8,SON,10.631303
9,DJF,9.007319
9,JJA,3.2505968
9,MAM,16.98592
9,SON,-0.20584477
10,DJF,6.984219
10,JJA,-6.3726344
10,MAM,7.002857
10,SON,9.717978
11,DJF,18.316975
11,JJA,-2.2469301
11,MAM,11.788104
11,SON,-8.6011
12,DJF,7.60697
12,JJA,-13.94327
12,MAM,-1.8230219
12,SON,2.4078052
13,DJF,5.9385796
13,JJA,-17.247477
13,MAM,-0.104105555
13,SON,-6.3956556
14,DJF,18.728035
14,JJA,-23.337563
14,MAM,3.3101401
14,SON,-8.574434
15,DJF,13.19539
15,JJA,-0.78929067
15,MAM,4.466301
15,SON,5.6884084
16,DJF,14.839329
16,JJA,6.1681347
16,MAM,9.105016
16,SON,-6.1977315
17,DJF,0.6865309
17,JJA,-21.968102
17,MAM,2.0482833
17,SON,-9.040609
18,DJF,7.7548714
18,JJA,2.264034
18,MAM,13.178551
18,SON,11.43883
19,DJF,10.399566
19,JJA,2.4554026
19,MAM,4.7178817
19,SON,-1.9368075
20,DJF,8.895104
20,JJA,-7.340723
20,MAM,18.520252
20,SON,-13.120577
21,DJF,5.7838297
21,JJA,-2.6311574
21,MAM,3.955626
21,SON,1.799693
22,DJF,8.136417
22,JJA,3.7058036
22,MAM,1.5870141
22,SON,5.5151596
23,DJF,1.9561424
23,JJA,-7.549107
23,MAM,5.5989246
23,SON,0.26230133
24,DJF,0.72556853
24,JJA,-6.965211
24,MAM,-3.4381173
24,SON,6.491083
25,DJF,11.007923
25,JJA,-4.211783
25,MAM,2.062422
25,SON,6.519209
26,DJF,13.08518
26,JJA,2.1241772
26,MAM,11.46481
26,SON,0.3608327
27,DJF,2.0813406
27,JJA,14.876379
27,MAM,-5.6331873
27,SON,-3.0205078
28,DJF,5.2130075
28,JJA,2.6158428
28,MAM,5.596366
28,SON,-5.156555
29,DJF,22.442326
29,JJA,4.4482546
29,MAM,16.892654
29,SON,-8.388059
30,DJF,10.879783
30,JJA,-19.45992
30,MAM,12.145402
30,SON,7.030318
31,DJF,6.4042716
31,JJA,-10.986608
31,MAM,7.0281467
31,SON,-11.471376
32,DJF,11.011219
32,JJA,5.732346
32,MAM,10.915231
32,SON,6.7314653
33,DJF,3.052517
33,JJA,-12.296852
33,MAM,2.2267087
33,SON,-11.056057
34,DJF,7.8398576
34,JJA,11.316473
34,MAM,14.363056
34,SON,20.097298
35,DJF,13.18815
35,JJA,5.9959526
35,MAM,9.315409
35,SON,-0.35693827
36,DJF,19.589653
36,JJA,5.2312827
36,MAM,8.212976
36,SON,-8.088996
