division,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,annual
N Front Range,3.61,2.32,6.16,1.5,1.72,3.53,4.05,1.89,2.22,0.99,1.55,2.67,2.95
Northeast,4.34,2.96,6.47,2.09,1.79,4.18,3.77,1.83,2.6,0.93,2.77,4.69,3.33
Pikes Peak,3.93,1.25,5.09,2.36,2.21,3.64,3.6,1.57,1.91,1.3,1.81,2.47,2.78
Southeast,3.56,1.25,4.71,2.46,2.11,3.32,2.85,0.48,1.12,1.56,2.23,3.52,2.69
South Park,2.09,0.55,4.01,0.84,0.81,2.42,2.71,0.97,0.95,0.42,0.45,0.22,1.64
San Luis Valley & SdC,1.61,0.73,3.97,1.69,0.79,2.55,1.97,0.37,0.76,1.05,0.83,0.73,1.67
Southwest,2.87,1.78,3.7,1.42,0.98,2.62,2.36,0.98,1.66,1.1,0.31,1.88,1.97
Mesas & Valleys,4.57,4.36,5.93,2.09,2.02,4.32,3.81,2.73,3.74,2.44,2.08,3.74,3.68
Central Mountains,2.76,2.02,4.9,1.57,0.87,2.69,2.79,1.48,1.78,0.67,0.96,1.62,2.27
Northwest,2.56,3.18,6.78,2.1,1.65,2.95,3.86,2.98,3.27,2.18,1.75,2.64,3.2
Northern Mountains,3.03,2.42,6.2,1.81,1.61,2.43,3.27,1.78,2.42,1.48,1.12,2.06,2.72
statewide,3.37,2.1,5.55,1.75,1.65,3.2,3.26,1.44,2.11,1.38,1.65,2.86,2.69
