Row Labels,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
0,-19.478365,-18.596354,-17.211576,-16.624754,-15.718595,-13.50742,-4.3406262,2.03648,-13.466564,-22.631025,-22.099323,-19.238876
1,-12.576503,-10.273955,-8.765718,-7.9275875,-6.8474402,-5.608568,-1.1507202,4.486318,-11.459158,-20.527372,-17.672964,-14.105662
2,-15.113216,-14.470072,-12.249149,-11.170106,-9.819579,-8.037041,-3.3157165,-2.5950863,-11.865857,-17.682396,-16.644426,-15.700658
3,-15.758803,-15.383053,-14.488605,-14.351408,-13.58192,-10.680514,-2.9494007,0.4668773,-11.593494,-17.98938,-17.503994,-16.660027
4,-6.330809,-3.8220146,-1.6880884,-0.7781364,0.5436813,6.311132,20.169312,16.191233,-6.6441298,-12.358884,-9.639554,-6.677598
5,-6.4376884,-5.731243,-4.785338,-4.35296,-3.931625,-1.6427169,2.4648788,7.834832,-0.12886319,-7.781782,-8.828946,-6.120332
6,-8.941295,-7.6359706,-6.677339,-6.304329,-5.1719675,-3.2122948,1.0799463,2.6590426,-5.9704247,-10.892361,-10.323749,-9.602133
7,-7.6028333,-6.236846,-4.9871674,-4.6068807,-3.9224517,-0.3473275,6.7576184,6.50586,-6.3606,-13.679322,-10.327527,-7.705538
8,-14.058091,-11.697782,-10.600939,-9.844152,-8.711937,-5.9229126,-1.3890088,-3.42964,-14.944828,-19.602146,-17.021355,-15.996586
9,-0.5918464,0.9976018,1.8456181,2.1079001,2.8116145,4.1073394,9.127713,7.7137413,0.66041064,-5.550835,-5.414876,-3.7084267
10,-9.046107,-7.800255,-6.576278,-5.8258543,-4.819001,-3.0703692,3.9948204,4.2034674,-12.2502,-21.510828,-18.17885,-9.912925
11,-6.88024,-5.789949,-5.8189573,-5.654839,-4.5225635,-1.3440055,2.2058122,10.934767,2.7227151,-5.734744,-6.9997244,-6.618492
12,-9.674508,-8.390692,-7.522951,-6.8774476,-5.5422707,-1.2780795,7.2159677,8.32491,-8.085817,-16.433538,-14.371339,-11.390747
13,-12.122742,-9.715759,-6.763427,-6.0868726,-4.854045,0.394749,9.880393,13.041888,-9.120574,-17.29569,-13.144657,-11.502136
14,-7.167906,-6.991394,-6.4371386,-6.128254,-5.383702,-3.1789794,4.4891176,5.8963675,-6.76982,-13.085511,-11.288511,-7.3366985
15,-4.0458245,-1.5665637,-0.3399852,-0.02699926,0.8397443,2.0344803,6.172811,8.958399,-4.970216,-9.452502,-4.8044624,-3.0477495
16,-5.5418625,-4.5320916,-3.9995692,-3.6552136,-3.4952533,-2.7633002,1.2640504,2.0412867,-7.6191597,-12.159697,-8.993388,-9.21862
17,-21.678673,-20.29932,-18.810715,-17.581314,-15.85182,-13.505218,-6.5126686,-0.010509255,-17.04148,-24.346504,-23.117365,-20.835014
18,-13.081156,-11.846356,-10.427852,-9.501877,-8.356886,-7.292944,-2.8520198,3.109552,-8.145033,-15.965411,-15.924038,-13.484448
19,-13.619026,-12.453879,-11.616464,-11.0084915,-9.50855,-8.045181,-2.2088146,1.801509,-11.0836115,-18.097149,-16.726427,-14.705367
20,-9.735811,-8.920399,-8.245817,-8.140934,-7.9379926,-6.558574,-4.3652315,1.8220915,0.9562161,-3.1443052,-5.317251,-6.896758
21,-8.306767,-8.476652,-7.2726636,-6.630119,-5.6911445,-1.7799046,1.118863,3.6688144,-6.1489434,-13.096256,-10.825822,-10.459827
22,-10.997799,-9.566245,-6.7062974,-5.753204,-4.673189,-0.6894131,3.811099,3.2336931,-13.255921,-19.172535,-14.156239,-13.277175
23,-9.702415,-7.505776,-6.6069603,-6.168369,-5.3824744,-0.3713188,11.757914,18.814903,-1.9406766,-11.619137,-11.892763,-11.02086
24,-4.863425,-4.27591,-3.8877912,-3.3953025,-2.3308568,4.10491,17.595144,24.35179,7.4664154,-3.0833502,-3.6571474,-4.0050926
25,-4.4862294,-3.3421018,-1.6912814,-0.9372673,0.42798164,5.753661,20.305214,18.84789,-8.6212845,-15.350422,-7.548581,-3.296157
26,-2.1657302,-0.3489403,1.1059641,1.6005851,2.261257,2.8276398,5.9762187,11.049947,2.4372473,-3.5950012,-4.135808,-1.4303323
27,-4.5275764,-2.8969147,-0.8547418,-0.24223712,0.55908465,2.5809174,8.188389,10.125106,-3.307685,-9.740698,-8.677866,-7.0716343
28,-8.772316,-8.931918,-8.264396,-7.7894506,-6.7032294,-4.5932555,0.6121463,1.4519867,-5.4637218,-9.475236,-7.9520726,-5.8299456
29,-5.5698576,-2.500737,-0.9067479,-0.26645398,0.49334887,2.7500827,7.4847946,12.586033,-2.63439,-9.120778,-6.470031,-5.1794186
30,-18.451473,-17.014832,-14.914372,-14.260131,-13.329484,-10.401031,-2.886036,-4.8990746,-19.85012,-24.486933,-21.936773,-20.097286
31,-7.8303757,-1.4295465,1.4249988,1.9222895,2.9477422,6.0888824,14.62084,16.066607,-0.6803929,-12.132954,-14.449421,-12.3755865
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
90th %ile,-4.5,-1.7,-0.4,0.0,0.8,4.1,14.3,16.2,0.9,-5.6,-5.3,-3.7
10th-90th,-11.2,-13.6,-13.9,,,,,,,-14.8,-12.8,-12.9
10th %ile,,,,-14.0,-13.0,-10.2,-3.3,0.0,-13.4,,,
min,-21.7,-20.3,-18.8,-17.6,-15.9,-13.5,-6.5,-4.9,-19.9,-24.5,-23.1,-20.8
max,-0.6,1.0,1.8,2.1,2.9,6.3,20.3,24.4,7.5,-3.1,-3.7,-1.4
median,-8.9,-7.7,-6.6,-6.1,-5.0,-1.7,3.1,5.2,-6.7,-13.1,-11.1,-9.8
